month,site,fr_selectivity,le_selectivity,bu_selectivity,fl_selectivity
1,MGV,NA,NA,NA,NA
1,TLK,0.3142968,-1,-1,-1
2,MGV,0.18026626,0.044502435,-0.2936301,-0.40532536
2,TLK,0.23826225,0.05428313,-1,-1
3,MGV,0.030662214,-0.11002278,0.8682059,-0.37930049
3,TLK,0.04482136,-0.2770987,-1,-0.74929925
4,MGV,-0.29279505,0.11138452,-0.2870147,0.558982
4,TLK,-0.02640764,-0.47889756,-1,0.68282068
5,MGV,-0.66784298,-0.63439521,-1,0.68271745
5,TLK,-0.22839305,-1,0.6223669,0.77182441
6,MGV,-0.13966115,-0.39377988,-1,-0.04737674
6,TLK,0.10536029,-0.67001103,-1,-1
7,MGV,NA,NA,NA,NA
7,TLK,NA,NA,NA,NA
8,MGV,0.31848181,-0.57329537,-1,-1
8,TLK,0.35144471,0.01369115,-1,-1
9,MGV,0.1920468,-0.5559955,-0.712225,-1
9,TLK,0.44608382,0.15283036,0.6198138,-1
10,MGV,0.22302782,-0.2109992,-1,-1
10,TLK,0.24140734,0.057373457,-1,-1
11,MGV,0.3044931,-0.35120611,-1,-1
11,TLK,0.45405067,-0.18812047,-1,-1
12,MGV,0.2970447,-0.64754658,-1,-0.71713447
12,TLK,NA,NA,NA,NA
