month,site,fr_fai_weighted,le_fai_weighted,bu_fai_weighted,fl_fai_weighted,fr_fai_prop,le_fai_prop,bu_fai_prop,fl_fai_prop,fr_fai_prop2,le_fai_prop2,bu_fai_prop2,fl_fai_prop2,mean_fruit_prop,mean_leaf_prop,mean_bud_prop,mean_flower_prop,mean_fruit_prop2,mean_leaf_prop2,mean_bud_prop2,mean_flower_prop2,fr_selectivity,le_selectivity,bu_selectivity,fl_selectivity
1,MGV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,78.48484849,21.51515151,0,0,0.784848485,0.215151515,0,0,NA,NA,NA,NA
1,TLK,17.00436681,155.3580786,0.61834061,5.255895198,9.540329571,87.16392021,0.346921075,2.948829142,0.095403296,0.871639202,0.003469211,0.029488291,100,0,0,0,1,0,0,0,0.3142968,-1,-1,-1
2,MGV,15.24077381,208.9101191,14.86904762,11.5235119,6.083086052,83.38278932,5.934718101,4.599406526,0.060830861,0.833827893,0.059347181,0.045994065,70.60092721,19.95243731,3.912723155,5.533912324,0.706009272,0.199524373,0.039127232,0.055339123,0.18026626,0.044502435,-0.2936301,-0.40532536
2,TLK,15.45851528,153.4494944,13.29432314,10.8209607,8.008626835,79.4979153,6.887419077,5.606038786,0.080086268,0.794979153,0.068874191,0.056060388,93.72524416,6.27475584,0,0,0.937252442,0.062747558,0,0,0.23826225,0.05428313,-1,-1
3,MGV,18.3603,209.64465,3.747,6.3699,7.710464201,88.04091267,1.573564123,2.675059009,0.077104642,0.880409127,0.015735641,0.02675059,64.98457683,6.16546766,25.59683608,3.253119429,0.649845768,0.061654677,0.255968361,0.032531194,0.030662214,-0.11002278,0.8682059,-0.37930049
3,TLK,13.04210526,153.2447368,2.484210525,10.24736842,7.285342585,85.60277537,1.387684301,5.724197745,0.072853426,0.856027754,0.013876843,0.057241977,95.15151515,3.181818182,0,1.666666667,0.951515152,0.031818182,0,0.016666667,0.04482136,-0.2770987,-1,-0.74929925
4,MGV,15.73033019,204.3175472,9.190754718,7.069811321,6.656694091,86.46222887,3.889304414,2.991772626,0.066566941,0.864622289,0.038893044,0.029917726,57.39367239,11.79058231,2.453703704,28.36204159,0.573936724,0.117905823,0.024537037,0.283620416,-0.29279505,0.11138452,-0.2870147,0.558982
4,TLK,11.01659751,154.819917,2.35020747,4.700414937,6.37213254,89.54970263,1.359388276,2.71877655,0.063721325,0.895497026,0.013593883,0.027187766,69.6972,2.001,0,28.3018,0.696972,0.02001,0,0.283018,-0.02640764,-0.47889756,-1,0.68282068
5,MGV,17.98702472,202.6656844,4.630323194,7.123574143,7.739463601,87.20306514,1.992337165,3.065134099,0.077394636,0.872030651,0.019923372,0.030651341,23.89231221,33.23232076,0,42.87536704,0.238923122,0.332323208,0,0.42875367,-0.66784298,-0.63439521,-1,0.68271745
5,TLK,11.1,157.95,0.299999999,6.000000001,6.330196749,90.07698888,0.171086398,3.421727973,0.063301967,0.900769889,0.001710864,0.03421728,46.50421636,0,0.621118012,52.87466563,0.465042164,0,0.00621118,0.528746656,-0.22839305,-1,0.6223669,0.77182441
6,MGV,18.34320342,202.4039882,4.274144488,4.274144488,7.999810276,88.2721228,1.864033463,1.864033463,0.079998103,0.882721228,0.018640335,0.018640335,92.35906863,3.229166667,0,4.411764705,0.923590686,0.032291667,0,0.044117647,-0.13966115,-0.39377988,-1,-0.04737674
6,TLK,12,153.3,0.9,2.100000001,7.130124777,91.08734403,0.534759358,1.247771837,0.071301248,0.91087344,0.005347594,0.012477718,98.88888889,1.111111111,0,0,0.988888889,0.011111111,0,0,0.10536029,-0.67001103,-1,-1
7,MGV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,1,0,0,0,NA,NA,NA,NA
7,TLK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,1,0,0,0,NA,NA,NA,NA
8,MGV,7.590266799,206.9736166,4.81333992,9.99693676,3.309120258,90.23405973,2.098466505,4.358353511,0.033091203,0.902340597,0.020984665,0.043583535,97.94094794,2.059052059,0,0,0.979409479,0.020590521,0,0,0.31848181,-0.57329537,-1,-1
8,TLK,6.04390244,159.1560975,1.335849056,2.480862535,3.575920028,94.16589405,0.790365073,1.467820852,0.0357592,0.941658941,0.007903651,0.014678209,84,6,0,0,0.84,0.06,0,0,0.35144471,0.01369115,-1,-1
9,MGV,8.886166006,199.3833498,7.034881424,6.664624504,4.003336113,89.82485405,3.169307757,3.002502084,0.040033361,0.898248541,0.031693078,0.030025021,73.80040632,25.62979311,0.56980057,0,0.738004063,0.256297931,0.005698006,0,0.1920468,-0.5559955,-0.712225,-1
9,TLK,5.073248408,150.1681529,2.029299364,1.127388535,3.202846975,94.80427046,1.281138791,0.711743772,0.03202847,0.948042705,0.012811388,0.007117438,88.33770396,7.495629371,4.166666667,0,0.88337704,0.074956294,0.041666667,0,0.44608382,0.15283036,0.6198138,-1
10,MGV,9.071294468,199.2562134,14.06976284,11.84822134,3.872558822,85.06298741,6.006417762,5.05803601,0.038725588,0.850629874,0.060064178,0.05058036,95.23809524,4.761904762,0,0,0.952380952,0.047619048,0,0,0.22302782,-0.2109992,-1,-1
10,TLK,7.265502184,152.8447139,10.51179039,5.874235808,4.116519474,86.59941533,5.955815407,3.328249787,0.041165195,0.865994153,0.059558154,0.033282498,79.3015873,20.6984127,0,0,0.793015873,0.206984127,0,0,0.24140734,0.057373457,-1,-1
11,MGV,15.36566206,202.7783433,17.77233202,23.69644269,5.918684762,78.10799732,6.845707678,9.127610236,0.059186848,0.781079973,0.068457077,0.091276102,96.42857143,3.571428571,0,0,0.964285714,0.035714286,0,0,0.3044931,-0.35120611,-1,-1
11,TLK,5.41048035,155.1526431,5.565065502,16.69519651,2.959402779,84.86476864,3.043957144,9.131871435,0.029594028,0.848647686,0.030439571,0.091318714,96.11111111,3.888888889,0,0,0.961111111,0.038888889,0,0,0.45405067,-0.18812047,-1,-1
12,MGV,16.10617589,209.9356719,21.10464427,15.92104743,6.12244898,79.80295566,8.022519353,6.052076002,0.06122449,0.798029557,0.080225194,0.06052076,95.37624487,1.647348595,0,2.976406533,0.953762449,0.016473486,0,0.029764065,0.2970447,-0.64754658,-1,-0.71713447
12,TLK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.38095238,7.619047619,0,0,0.923809524,0.076190476,0,0,NA,NA,NA,NA
