No,Collection,Sample,Vernacular,Family,Genus,Species,Latin,Part,DM,NDF,ADF,ADL,CP,ADIN,fat,ash,TNC,sugar,starch
145,10/09/2022,MGV 1,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,FR,0.90,59.6466691,53.1004453,31.5029483,9.5610493,4.71,1.7196779,4.7732636,29.1537436,,
146,10/09/2022,MGV 2,Fohaninasity,NA,NA,NA,NA,FR,0.89,35.7433781,25.5961749,8.1503718,8.0717265,4.62,1.8084076,-4.9376237,62.7629910,22.87043941,5.683211824
147,10/09/2022,MGV 3,Sary,Lauraceae,Beilschmiedia,sary,Beilschmiedia sary,LE,0.91,63.0784016,52.7308735,35.6109243,14.9929105,6.54,4.0432350,3.3036684,23.0384055,,
148,10/09/2022,MGV 4,Kalamasimbarika,Melastomataceae,Medinilla,sp.,Medinilla sp.,LE,0.92,60.0255912,49.9117934,24.2368283,10.9475763,6.09,1.3805999,6.5294906,25.9787357,,
149,10/09/2022,MGV 5,Sary,Lauraceae,Beilschmiedia,sary,Beilschmiedia sary,LE,0.90,57.6072327,48.1352333,33.3748855,14.3054760,4.86,4.2428717,5.0595573,28.2304859,,
150,10/09/2022,MGV 8,Tavolomanitra,Lauraceae,Cryptocarya,crassifolia,Cryptocarya crassifolia,FR,0.89,39.9034025,28.5753174,20.7771707,37.6385071,29.75,2.4263487,14.4713653,13.4440336,,
151,10/09/2022,MGV 9,Tavolomaitso,Lauraceae,Cryptocarya,sp.,Cryptocarya sp.,FR,0.92,48.2394914,39.0681976,24.5779151,10.2769724,5.78,7.8884755,10.3733402,27.7141942,,
152,10/09/2022,MGV 10,Tavolopina,Lauraceae,Cryptocarya,thouvenotii,Cryptocarya thouvenotii,FR,0.91,24.9507693,20.2087541,14.0328719,19.0062745,14.10,19.3098399,8.5865725,33.0504767,7.204466015,1.881511506
153,03/10/2022,MGV 11,Tavolomanitra,Lauraceae,Cryptocarya,crassifolia,Cryptocarya crassifolia,FR,0.90,41.7453142,32.2587752,19.0838660,13.7270104,10.73,6.6802452,-1.8965619,42.7371887,,
154,03/10/2022,MGV 12,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,FR,0.89,66.1993290,53.3417992,20.3777819,5.4969566,1.87,2.5663876,9.6590870,19.7098206,,
155,03/10/2022,MGV 13,Amotana,Moraceae,Ficus,lutea,Ficus lutea,FR,0.87,56.7849936,48.6593765,27.9030742,6.8219348,1.47,4.8232473,8.4214880,28.4986770,,
156,03/10/2022,MGV 14,Tavolomanitra,Lauraceae,Cryptocarya,crassifolia,Cryptocarya crassifolia,LE,0.91,47.1437381,33.9189257,17.9170157,13.7217566,9.77,7.0469496,5.8929374,30.1470718,,
157,03/10/2022,MGV 15,Sary,Lauraceae,Beilschmiedia,sary,Beilschmiedia sary,LE,0.89,61.1651627,52.3580265,33.5764371,11.0627446,7.81,5.1304625,6.2131325,19.6855097,,
158,03/10/2022,MGV 16,Vahipisorona,NA,NA,NA,NA,FR,0.90,70.9560005,54.3367697,22.2538183,12.7566524,5.38,1.1608417,4.5040769,18.0015847,,
159,03/10/2022,MGV 17,Tavolomaitso,Lauraceae,Cryptocarya,sp.,Cryptocarya sp.,FR,0.89,37.4733237,28.8695433,18.9990987,34.4039906,29.12,2.4274985,14.0048349,16.9700459,,
160,03/10/2022,MGV 18,Tavolopina,Lauraceae,Cryptocarya,thouvenotii,Cryptocarya thouvenotii,FR,0.96,NA,NA,NA,25.8186019,NA,7.6135092,12.9481698,NA,,
161,03/10/2022,MGV 19,Fantsikahitra,Rubiaceae,Canthium,sp.,Canthium sp.,FR,0.93,33.1197842,26.3077983,9.1728677,8.3015687,6.29,1.0518246,14.3207762,45.2144092,,
162,03/10/2022,MGV 20,Faritraty,NA,NA,NA,NA,FR,0.93,20.7064068,17.3826867,12.0867656,5.0531799,2.25,0.6062983,5.4818557,70.9522792,19.26625821,2.252088101
163,24/10/2022,MGV 21,Voatsavora,NA,NA,NA,NA,FL,0.93,30.7840920,26.8269533,15.3345351,6.7396257,3.37,4.7177293,3.5548083,57.5708415,7.640067912,1.438353086
164,24/10/2022,MGV 22,Natojabo,Clusiaceae,Mammea,sp.,Mammea sp.,FL,0.94,33.0225757,29.7181772,19.4865398,10.0754791,5.30,16.6800628,4.0553758,40.9436896,21.61741078,3.597598658
165,24/10/2022,MGV 23,Varongy,Lauraceae,Ocotea,nervosa,Ocotea nervosa,FR,0.96,27.4055740,21.0828030,15.1872270,13.6580683,11.23,31.3894626,8.8720840,21.0983555,,
166,24/10/2022,MGV 24,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,FR,0.92,71.8394123,64.8341846,38.0706912,7.6738579,-0.19,0.0953231,4.7319632,23.5279110,,
167,24/10/2022,MGV 25,Voara,Moraceae,Ficus,tilifolia,Ficus tilifolia,FR,0.94,40.6470401,35.8512614,19.2441727,10.1131093,6.68,8.8713822,11.5499586,32.2498468,7.777885973,1.016719385
168,24/10/2022,MGV 26,Tongolahy,Loranthaceae,Bakerella,clavata,Bakerella clavata,LE,0.93,38.8563316,34.4077918,19.8026719,7.0334973,2.05,2.0607622,6.4279181,50.6072770,,
169,24/10/2022,MGV 27,Voakiringy,NA,NA,NA,NA,FR,0.92,73.6975662,61.6327413,33.8562760,3.1573170,0.47,0.5128779,3.0755044,22.2405094,,
170,24/10/2022,MGV 28,Fantsikahitra,Rubiaceae,Canthium,sp.,Canthium sp.,FR,0.94,70.4308869,48.5042475,18.6588424,8.7233909,6.91,0.0608706,2.7249039,19.8730797,,
171,24/10/2022,MGV 29,Rojabo-sm,NA,NA,NA,NA,FR,0.91,60.2963647,57.0280841,35.6590239,8.5585628,1.49,0.3096177,4.9224138,32.9861812,,
172,24/10/2022,MGV 30,Tavolomanitra,Lauraceae,Cryptocarya,crassifolia,Cryptocarya crassifolia,FR,0.94,33.4878748,25.6780190,16.2010202,12.3815816,8.52,10.0401861,8.6125784,39.3408504,9.494133113,10.95020858
173,15/11/2022,MGV 31,Vahimberana,Papilionaceae,Strongylodon,sp.,Strongylodon sp.,FL,0.92,39.7801852,34.3446992,20.4432678,23.8108574,18.03,1.0408976,9.6702174,31.4741834,7.946970451,0.526404134
174,15/11/2022,MGV 32,Mahanoro,NA,NA,NA,NA,FL,0.90,50.1288467,41.9045686,32.7313901,15.9625566,7.42,1.5118950,14.6976412,26.2448239,10.03051106,0.948938093
175,15/11/2022,MGV 33,Tavolo,Lauraceae,Cryptocarya,sp.,Cryptocarya sp.,FL,0.93,60.8535258,45.7581318,32.8145650,18.6758123,7.88,4.3915250,6.9264400,19.9484386,,
176,15/11/2022,MGV 34,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,FR,0.90,72.0998541,63.1019902,36.7572422,6.2276842,1.87,2.3177404,6.4344150,17.2734904,,
177,15/11/2022,MGV 35,Ambora,Monimiaceae,Tambourissa,perrieri,Tambourissa perrieri,BU,0.92,53.0956737,38.0673449,25.8620624,16.0613421,7.22,2.6326607,8.1898697,28.8606744,,
178,15/11/2022,MGV 36,Tongolahy,Loranthaceae,Bakerella,clavata,Bakerella clavata,LE,0.92,38.7269063,32.9888780,18.5196212,7.6268807,0.16,2.3884178,3.9692591,54.7575073,,
179,15/11/2022,MGV 37,Voara,Moraceae,Ficus,tilifolia,Ficus tilifolia,FR,0.93,41.4886850,37.2732017,21.7340698,7.7126108,3.40,5.5716844,7.5145267,42.0272233,,
180,15/11/2022,MGV 38,Sary,Lauraceae,Beilschmiedia,sary,Beilschmiedia sary,FR,0.96,22.9914789,17.7747185,12.0559784,13.2123442,9.13,22.1708584,7.4791442,38.2280460,,
181,15/11/2022,MGV 39,Vandrika,Apocynaceae,Craspidospermum,verticillatum,Craspidospermum verticillatum,FR,0.97,15.8875809,11.6112067,7.0426876,8.7110504,6.12,27.2838653,5.0881616,45.6250718,,
182,15/11/2022,MGV 40,Solaitra,NA,NA,NA,NA,FR,0.94,48.1924190,39.8575614,16.8701963,5.7821561,3.88,3.3621154,6.1114536,38.4516685,16.14002629,3.244460139
183,06/12/2022,MGV 41,Vahimberana,Papilionaceae,Strongylodon,sp.,Strongylodon sp.,FL,0.93,37.1273166,31.2277011,16.3304149,20.5281962,16.66,2.5038603,9.7731470,33.9347501,,
184,06/12/2022,MGV 42,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,FR,0.91,63.0811955,55.0871095,29.3397061,5.5393753,1.74,2.6756076,4.2355365,28.2688498,,
185,06/12/2022,MGV 43,Mahanoro,Moraceae,Streblus,dimepate,Streblus dimepate,FR,0.90,46.9233169,45.9398842,33.3654942,15.7552035,6.55,6.9805759,8.1313481,31.4137357,,
186,06/12/2022,MGV 44,Ramiavotoloho,Annonaceae,Ambavia,capuronii,Ambavia capuronii ,LE,0.94,NA,NA,NA,36.2188531,NA,1.7659976,3.7278448,NA,,
187,06/12/2022,MGV 45,Voamalambotaholahy,Clusiaceae,Garcinia,sp.,Garcinia sp.,LE,0.93,33.1394127,26.1086502,11.7593057,25.5725406,18.72,8.9869576,4.8238495,34.3299742,4.61356758,1.60717347
188,06/12/2022,MGV 46,Tavolomaitso,Lauraceae,Cryptocarya,sp.,Cryptocarya sp.,FR,0.93,36.8169541,29.4155891,21.3546202,20.7981485,12.15,1.9061683,10.9910820,38.1334888,3.321768657,1.45005131
189,06/12/2022,MGV 47,Varongy,Lauraceae,Ocotea,nervosa,Ocotea nervosa,FR,0.95,50.7789456,39.7182116,26.3987605,15.7848088,11.83,6.1279633,2.1085988,29.1591003,,
190,06/12/2022,MGV 48,Vandrika,Apocynaceae,Craspidospermum,verticillatum,Craspidospermum verticillatum,FR,0.92,27.4964355,19.0289307,11.6839653,10.9280115,7.69,21.5748783,6.6614453,36.5808154,,
191,06/12/2022,MGV 49,Ramy,Burseraceae,Canarium,madagascariensis,Canarium madagascariensis,FR,0.93,30.1093073,26.7504082,10.7237749,11.4260623,8.72,9.6567025,12.9118145,38.6071311,8.249199705,1.393404552
192,06/12/2022,MGV 50,Tsivalandrano,NA,NA,NA,NA,FR,0.93,28.6335438,21.7419180,6.5352513,8.4684598,7.09,0.2937107,8.6302126,55.3531814,,
193,06/12/2022,MGV 51,Sary,Lauraceae,Beilschmiedia,sary,Beilschmiedia sary,FR,0.95,NA,NA,NA,13.8073787,9.45,19.2354367,13.9427611,NA,,
194,06/12/2022,MGV 52,Sary,Lauraceae,Beilschmiedia,sary,Beilschmiedia sary,LE,0.92,NA,NA,NA,10.2843701,7.33,2.3420413,5.5806414,NA,,
195,21/01/2023,MGV 53,Lanary Mavo,Sapindaceae,Plagioscyphus,sp.,Plagioscyphus sp.,FR,0.93,32.9642970,22.6144227,16.74,13.4519718,9.74,1.2579514,3.8494714,52.1897070,,
196,21/01/2023,MGV 54,Fantsikahitra,Rubiaceae,Canthium,sp.,Canthium sp.,FR,0.94,64.1339156,58.3532322,37.2804184,5.4349465,2.11,2.3802665,2.8012570,28.5715878,,
197,21/01/2023,MGV 55,Fantsikahitra-2,Rubiaceae,Canthium,sp.,Canthium sp.,FR,0.95,43.8854889,35.7937115,23.3020253,9.6517166,2.08,6.0184373,4.2273820,43.7841524,,
