No,Collection,Sample,Vernacular,Family,Genus,Species,Latin,Part,DM,NDF,ADF,ADL,CP,ADIN,fat,ash,TNC,sugar,starch
1,05/09/2022,TALA 1,Voara,Moraceae,Ficus,tilifolia,Ficus tilifolia,FR,0.95,42.5274657,37.3601537,17.9083433,8.6824426,5.35,5.4572355,9.0875281,37.5805505,,
2,16/09/2022,TALA 2,Rotra,Myrtaceae,Eugenia,sp.,Eugenia sp.,FR,0.94,32.2292652,26.8814862,10.2119548,6.6143487,4.04,2.5079157,2.7620355,58.4640114,,
4,16/09/2022,TALA 4,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,FR,0.91,63.5129853,58.4015451,33.3862187,9.5548703,4.64,1.3609799,8.5998810,21.8875663,3.090659341,0.8629957
5,16/09/2022,TALA 5,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,LE,0.93,53.3506575,43.4497241,10.9524467,15.0603325,9.31,2.3644322,8.3078195,26.6716420,,
6,16/09/2022,TALA 6,Tongolahy,Loranthaceae,Bakerella,clavata,Bakerella clavata,LE,0.94,33.1558072,28.5106795,15.9438497,6.5307153,3.82,3.8871780,8.3954289,50.7388271,,
7,16/09/2022,TALA 7,Tavolomanitra,Lauraceae,Cryptocarya,crassifolia,Cryptocarya crassifolia,FR,0.94,37.5479576,29.2615015,13.0518605,14.6489939,11.41,6.5554447,8.0023558,36.4823408,,
8,16/09/2022,TALA 8,Tavolomaitso,Lauraceae,Cryptocarya,sp.,Cryptocarya sp.,FR,0.95,33.4997740,27.3073826,15.9321320,21.0475296,17.36,13.1142951,4.6291721,31.3996983,,
9,16/09/2022,TALA 9,Tavolopina,Lauraceae,Cryptocarya,thouvenotii,Cryptocarya thouvenotii,FR,0.92,23.4460308,18.8327344,10.9138564,12.2191153,8.38,16.5640190,7.8184083,43.7876575,,
10,16/09/2022,TALA 10,Varongy,Lauraceae,Ocotea,nervosa,Ocotea nervosa,LE,0.93,51.3033171,38.4188216,21.3779386,13.0308909,7.92,1.7117491,3.9387015,35.1287803,,
11,16/09/2022,TALA 11,Kalamasiny,Melastomataceae,Medinilla,sp,Medinilla sp.,LE,0.93,29.2729079,25.3763004,8.9229049,17.8409724,13.91,6.5479777,17.0091771,33.2554937,,
12,30/09/2022,TALA 12,Voara,Moraceae,Ficus,tilifolia,Ficus tilifolia,FR,0.89,40.0505772,34.9094987,17.4018842,9.7696970,4.99,5.1268137,7.9880437,41.8458989,,
13,07/10/2022,TALA 13,Amotana,Moraceae,Ficus,lutea,Ficus lutea,FR,0.92,63.9600359,54.5903521,31.7805528,6.9679102,1.99,3.3698820,8.1453787,22.5308246,12.16650198,1.7574433
14,07/10/2022,TALA 14,Kimbaletaka,Clusiaceae,Symphonia,sp,Symphonia sp.,FR,0.93,25.8538514,20.0986911,7.5819558,5.9006702,5.46,13.4091429,4.6122387,50.6623666,,
16,07/10/2022,TALA 16,Apana,Moraceae,Ficus,pachyclada,Ficus pachyclada,FR,0.92,64.5047431,50.2280040,24.4826117,10.2343390,6.14,3.2287116,7.5582586,18.5645200,4.13784585,0.8034026
17,07/10/2022,TALA 17,Fantsikahitra,Rubiaceae,Canthium,sp.,Canthium sp.,FR,0.89,75.4833601,57.9233414,26.5229273,10.9325498,NA,0.9897730,3.0040860,9.5902312,,
18,07/10/2022,TALA 18,Tavolopina,Lauraceae,Cryptocarya,thouvenotii,Cryptocarya thouvenotii,FR,0.93,21.3977429,17.1897041,10.4772291,11.6989638,8.44,17.7327549,4.1861712,48.2456294,,
19,07/10/2022,TALA 19,Tavolomaitso,Lauraceae,Cryptocarya,sp.,Cryptocarya sp.,FR,0.93,29.9420517,24.5080399,24.9984638,13.2074395,8.82,12.8161257,6.4869672,41.9382527,,
20,07/10/2022,TALA 20,Sary,Lauraceae,Beilschmiedia,sary,Beilschmiedia sary,FR,0.86,30.8072345,25.4861819,16.3251606,10.7188166,8.38,7.5695675,2.5842526,50.6548519,,
22,24/10/2022,TALA 22,Rahonato,NA,NA,NA,NA,FL,0.92,NA,NA,NA,18.0427031,NA,NA,2.2810625,NA,,
23,24/10/2022,TALA 23,Voara-2,Moraceae,Ficus,sp.,Ficus sp.,FR,0.91,38.0893393,33.7960789,18.3151120,8.1901453,3.69,5.7385301,4.1330466,48.3522209,,
