site,type,AP_kcal,NPE_kcal,NPE_AP_ratio,AP_per_g,NPE_per_g,part
MGV,intake,116.0911316,799.3998337,6.885968144,NA,NA,NA
MGV,intake,32.86829137,206.3196019,6.277162373,NA,NA,NA
MGV,intake,15.6402416,171.3931544,10.9584723,NA,NA,NA
MGV,intake,46.62109394,346.4728057,7.43167473,NA,NA,NA
MGV,intake,6.870102862,58.27988149,8.483116289,NA,NA,NA
MGV,intake,47.12671569,459.7453114,9.755513506,NA,NA,NA
MGV,intake,47.29842,411.6297977,8.702823428,NA,NA,NA
MGV,intake,42.76934815,410.5931101,9.600172271,NA,NA,NA
MGV,intake,99.40123532,1201.456402,12.08693633,NA,NA,NA
MGV,intake,12.605916,273.7957404,21.71962278,NA,NA,NA
MGV,intake,32.11021354,241.3183869,7.515315541,NA,NA,NA
MGV,intake,23.00150809,229.0021832,9.955963856,NA,NA,NA
MGV,intake,106.1549153,902.888516,8.505385864,NA,NA,NA
MGV,intake,84.97303977,647.2269674,7.616850818,NA,NA,NA
MGV,intake,12.52952535,125.5102285,10.01715748,NA,NA,NA
MGV,intake,52.96433562,456.930923,8.627143484,NA,NA,NA
MGV,intake,25.74448939,212.3271461,8.247479408,NA,NA,NA
MGV,intake,7.375815772,104.8369214,14.21360358,NA,NA,NA
MGV,intake,7.658043755,86.62942928,11.31221394,NA,NA,NA
MGV,intake,7.895686195,170.6057246,21.60746012,NA,NA,NA
MGV,intake,14.0585226,131.7151534,9.369060824,NA,NA,NA
MGV,intake,67.75049078,635.3283577,9.377472404,NA,NA,NA
MGV,intake,9.553860976,149.7355521,15.67277904,NA,NA,NA
MGV,intake,8.806479625,184.1302366,20.90849515,NA,NA,NA
MGV,intake,55.6199853,555.3217273,9.984212046,NA,NA,NA
MGV,intake,67.73928309,619.4470126,9.144575855,NA,NA,NA
MGV,intake,9.255681392,151.3981578,16.35732166,NA,NA,NA
MGV,intake,58.00662497,1115.377013,19.22844181,NA,NA,NA
MGV,intake,14.49535793,163.3901624,11.27189567,NA,NA,NA
MGV,intake,14.15777623,90.55667938,6.396250224,NA,NA,NA
MGV,intake,59.53751499,675.5648176,11.3468763,NA,NA,NA
MGV,intake,28.17283361,238.0741409,8.450486175,NA,NA,NA
MGV,intake,49.04114642,462.1719109,9.424166127,NA,NA,NA
MGV,intake,32.00583712,166.2842916,5.195436413,NA,NA,NA
MGV,intake,84.12929225,342.4022517,4.069952837,NA,NA,NA
MGV,intake,11.804318,148.3360174,12.56625054,NA,NA,NA
MGV,intake,63.50000484,608.4884103,9.58249392,NA,NA,NA
MGV,intake,52.56087252,1006.17751,19.14308994,NA,NA,NA
MGV,intake,35.86517438,222.1220068,6.193250435,NA,NA,NA
MGV,intake,40.64282893,335.1048411,8.245116049,NA,NA,NA
MGV,intake,43.97793178,238.0811859,5.413651263,NA,NA,NA
MGV,intake,38.90114735,552.402986,14.20017207,NA,NA,NA
MGV,intake,68.43596827,414.7727447,6.060741963,NA,NA,NA
MGV,intake,119.979624,622.0181046,5.18436451,NA,NA,NA
MGV,intake,137.2127139,754.8731778,5.501481287,NA,NA,NA
MGV,intake,115.2931109,640.6708698,5.556887701,NA,NA,NA
MGV,intake,83.40802667,429.2000854,5.145788751,NA,NA,NA
MGV,intake,123.3472036,747.1838243,6.05756598,NA,NA,NA
MGV,intake,52.90849106,430.1090103,8.129300263,NA,NA,NA
MGV,intake,67.08003337,387.3024711,5.773737007,NA,NA,NA
MGV,intake,117.5244042,1020.366783,8.682169375,NA,NA,NA
MGV,intake,71.68256577,423.6937647,5.910694743,NA,NA,NA
MGV,intake,68.76504447,442.3040969,6.432106607,NA,NA,NA
MGV,intake,71.85431607,796.5455431,11.08556294,NA,NA,NA
MGV,intake,25.89862788,330.4142355,12.75798228,NA,NA,NA
MGV,intake,83.61959219,896.4196109,10.72021027,NA,NA,NA
MGV,intake,102.7478099,950.8770249,9.254474869,NA,NA,NA
MGV,intake,19.00962136,300.3556453,15.80019084,NA,NA,NA
MGV,intake,72.67128246,682.7275475,9.394736467,NA,NA,NA
MGV,intake,73.66159365,725.3252637,9.846722393,NA,NA,NA
MGV,intake,41.67973679,480.6368296,11.53166662,NA,NA,NA
MGV,intake,5.182638224,48.81817346,9.419560339,NA,NA,NA
MGV,intake,34.75786776,734.4087276,21.12928021,NA,NA,NA
MGV,intake,12.55554265,99.60612156,7.933239074,NA,NA,NA
MGV,intake,76.88426646,679.5009805,8.837971822,NA,NA,NA
MGV,intake,33.8606717,494.5036146,14.60406985,NA,NA,NA
MGV,intake,16.4940216,130.2661112,7.897777413,NA,NA,NA
MGV,intake,24.78196029,363.5007726,14.6679588,NA,NA,NA
MGV,intake,18.72134381,297.4312215,15.88727949,NA,NA,NA
MGV,intake,9.610629631,162.248715,16.88221493,NA,NA,NA
MGV,intake,34.30065308,511.289039,14.90610216,NA,NA,NA
MGV,intake,14.70562242,147.4469403,10.02656916,NA,NA,NA
MGV,intake,14.1918121,245.5815889,17.30445605,NA,NA,NA
MGV,intake,15.15596945,309.8265532,20.44254274,NA,NA,NA
MGV,intake,17.02831454,314.4542845,18.46655368,NA,NA,NA
MGV,intake,29.36363741,409.7795054,13.9553387,NA,NA,NA
MGV,intake,70.78676117,421.4095035,5.953224819,NA,NA,NA
MGV,intake,18.71105547,275.4394912,14.72068166,NA,NA,NA
MGV,intake,13.64984809,236.2447511,17.30750038,NA,NA,NA
MGV,intake,20.49729808,435.8787033,21.26517855,NA,NA,NA
MGV,intake,21.4480326,321.46479,14.98807821,NA,NA,NA
MGV,intake,25.58517143,330.8047969,12.9295517,NA,NA,NA
MGV,intake,20.92569307,200.6253155,9.58751114,NA,NA,NA
MGV,intake,14.96672579,296.3909107,19.80332338,NA,NA,NA
MGV,intake,19.00449213,178.6187975,9.398767212,NA,NA,NA
MGV,intake,6.192452236,152.3344685,24.60002317,NA,NA,NA
MGV,intake,5.196722824,140.6818106,27.07125536,NA,NA,NA
MGV,intake,20.09501465,282.024908,14.03457091,NA,NA,NA
MGV,intake,11.33896028,319.9219095,28.21439546,NA,NA,NA
MGV,intake,6.870008194,87.27342393,12.70354001,NA,NA,NA
MGV,intake,52.51956104,1115.004252,21.23026601,NA,NA,NA
MGV,intake,29.49417557,350.0768722,11.86935608,NA,NA,NA
MGV,intake,12.14425249,163.4772471,13.46128527,NA,NA,NA
MGV,intake,0.962620715,12.95811205,13.46128527,NA,NA,NA
MGV,intake,3.783317292,65.00129771,17.18103259,NA,NA,NA
MGV,intake,10.16246419,141.6058532,13.93420439,NA,NA,NA
MGV,intake,3.37497037,51.62892535,15.29759366,NA,NA,NA
MGV,intake,10.22145881,162.0007144,15.84907961,NA,NA,NA
MGV,intake,5.948476759,92.55848754,15.5600318,NA,NA,NA
MGV,intake,13.97008956,205.4165232,14.70402335,NA,NA,NA
MGV,intake,16.35243722,253.5528964,15.50551108,NA,NA,NA
MGV,intake,23.70771544,380.4155824,16.04606666,NA,NA,NA
MGV,intake,13.38117357,219.8255765,16.42797437,NA,NA,NA
MGV,intake,30.13109863,453.9813737,15.06687092,NA,NA,NA
MGV,intake,26.52888541,402.4702041,15.17101823,NA,NA,NA
TLK,intake,23.42652966,235.272892,10.04301087,NA,NA,NA
TLK,intake,16.67300364,243.5919559,14.60996238,NA,NA,NA
TLK,intake,22.01872295,350.1778854,15.90364192,NA,NA,NA
TLK,intake,28.7013782,318.2760269,11.08922452,NA,NA,NA
TLK,intake,34.0135245,361.5765595,10.63037614,NA,NA,NA
TLK,intake,7.110926596,109.5621878,15.40758244,NA,NA,NA
TLK,intake,14.11797227,180.9999438,12.82053402,NA,NA,NA
TLK,intake,29.78887402,323.0720669,10.84539371,NA,NA,NA
TLK,intake,22.1809983,237.6371945,10.71354821,NA,NA,NA
TLK,intake,90.87254536,669.1232334,7.363315628,NA,NA,NA
TLK,intake,20.77236575,202.0116889,9.7250208,NA,NA,NA
TLK,intake,28.96718417,221.8928892,7.660147011,NA,NA,NA
TLK,intake,49.50423321,446.1660653,9.012685106,NA,NA,NA
TLK,intake,7.889227356,94.24875971,11.94651332,NA,NA,NA
TLK,intake,25.97193188,335.6050123,12.92183477,NA,NA,NA
TLK,intake,17.81602745,152.3115846,8.549132802,NA,NA,NA
TLK,intake,27.98147003,606.4810896,21.67438269,NA,NA,NA
TLK,intake,42.17308113,486.0527951,11.52519053,NA,NA,NA
TLK,intake,66.89420904,1315.871089,19.6709268,NA,NA,NA
TLK,intake,25.33379607,125.2322162,4.943286664,NA,NA,NA
TLK,intake,9.780115317,122.6279083,12.53849309,NA,NA,NA
TLK,intake,33.92110888,327.0449005,9.641338721,NA,NA,NA
