site,observer,season,year,month,date,focal_duration_secs,focal,sex,fruit_prop,leaf_prop,flower_prop,other_prop,total_dry_weight,amount_food,intake_NDF_g,intake_ADF_g,intake_ADL_g,intake_CP_g,intake_ADIN_g,intake_fat_g,intake_TNC_g,intake_sugar_g,intake_starch_g,intake_ash_g,intake_CP_kcal,intake_AP_kcal,intake_NPE_kcal,intake_energy_kcal,NPE_AP_ratio,RMT_total,RMT_ADIN_prop,RMT_carb_prop,RMT_TNC_prop,RMT_fat_prop,RMT_NDF_prop,RMT_sugar_prop,RMT_starch_prop,RMT_ADIN_prop_kcal,RMT_carb_prop_kcal,RMT_fat_prop_kcal
MGV,Tantely,Lean,2022,August,30/08/2022,31999,Silver Pink,F,68.59294282,31.40705718,0,0,444.1514903,445.6455958,278.223457,232.9287088,156.7165801,65.97058829,29.02278289,18.55282162,104.8958736,12.16794675,2.780798795,14.9506606,263.8823532,116.0911316,799.3998337,875.3828616,6.885968144,430.6949352,6.738593961,88.95375807,24.35502836,4.307647967,64.59872971,2.825189189,0.645653935,13.26175513,67.66368882,19.07455605
MGV,Tantely,Lean,2022,August,31/08/2022,32253,Black Pink,F,88.9800995,11.0199005,0,0,107.2685973,107.2685973,58.22894116,48.28581946,32.79534291,16.24185277,8.217072842,3.594077771,32.35694048,5.612454594,0.975972392,4.871565041,64.96741107,32.86829137,206.3196019,229.5337195,6.277162373,102.3970323,8.024717769,88.46533893,31.5994905,3.509943298,56.86584843,5.481071541,0.953125663,14.31959167,71.58805623,14.0923521
MGV,Tantely,Lean,2022,September,01/09/2022,31380,Orange Teal,F,74.18305967,25.81694033,0,0,61.88541764,61.88541764,23.87894318,18.36918062,9.645503099,6.749043547,3.9100604,6.142659797,24.46045617,6.014195832,1.581838057,3.493298082,26.99617419,15.6402416,171.3931544,181.4637084,10.9584723,58.39211955,6.696212485,82.78411492,41.88999536,10.51967259,40.89411956,10.29967036,2.708992359,8.61893639,60.91550184,30.46556177
MGV,Tantely,Lean,2022,September,02/09/2022,31447,Black Teal,F,77.47460665,22.52539335,0,0,180.5287501,180.5287501,104.724958,87.41459936,58.96995739,25.79031889,11.65527349,7.266308512,50.24035905,7.290990565,1.37450689,6.641850993,103.1612755,46.62109394,346.4728057,376.8463121,7.43167473,173.8868991,6.702789886,89.11845453,28.89254988,4.178755587,60.22590465,4.192949902,0.790460292,12.37138123,70.27491926,17.35369951
MGV,Tantely,Lean,2022,September,05/09/2022,31804,Silver Yellow,F,92.00343938,7.996560619,0,0,27.57261841,27.57261841,14.70212411,11.78996433,6.063760429,3.396342991,1.717525715,1.709585727,7.911621251,2.397900427,0.622070804,1.531761604,13.58537197,6.870102862,58.27988149,62.6684487,8.483116289,26.04085681,6.595503858,86.83948279,30.38157043,6.565013353,56.45791236,9.208224003,2.388826175,10.96261836,64.48551885,24.5518628
MGV,Tantely,Lean,2022,September,06/09/2022,30220,Orange Silver,F,34.58560731,51.73245336,0,13.68193933,219.498781,219.498781,115.2953765,97.65674798,63.87453014,29.39142191,11.78167892,10.24002409,69.84603289,9.549889472,3.811905974,12.33566856,117.5656877,47.12671569,459.7453114,487.1171368,9.755513506,207.1631124,5.687150953,89.36987249,33.71547766,4.942976561,55.65439483,4.6098407,1.840050542,9.674616664,71.40586484,18.9195185
MGV,Tantely,Lean,2022,September,07/09/2022,30877,Black Yellow,M,58.79161167,27.2913917,13.91699663,0,164.6925934,164.6099223,69.03859699,52.32685675,24.69247882,19.28067886,11.824605,7.063737653,73.81040803,24.21603192,6.264213937,2.8725746,77.12271544,47.29842,411.6297977,444.1133247,8.702823428,161.7373477,7.310992279,88.3215949,45.63597035,4.367412818,42.68562455,14.97244283,3.873078189,10.65007902,75.03518748,14.3147335
MGV,Tantely,Lean,2022,September,08/09/2022,55525,Yellow Teal,F,91.7765669,5.383137224,0,2.840295875,191.0152875,191.0152875,100.7535506,86.00988589,57.4593918,26.19869963,10.69233704,11.53370654,57.42832126,8.735978573,2.163725045,10.60737209,104.7947985,42.76934815,410.5931101,436.1710824,9.600172271,180.4079154,5.926756047,87.68011729,31.83248425,6.393126663,55.84763304,4.842347716,1.199351503,9.805635878,66.3955927,23.79877142
MGV,Tantely,Lean,2022,September,09/09/2022,31844,Orange Black,F,96.89969605,3.100303951,0,0,432.0604095,432.0604095,163.6898364,120.1824993,45.06283544,41.47998569,24.85030883,11.27199643,243.6964273,88.32870818,22.31890003,-11.44815949,165.9199428,99.40123532,1201.456402,1261.972201,12.08693633,443.508569,5.603118082,91.85533093,54.94739997,2.541550991,36.90793095,19.91589664,5.032349223,7.876658081,84.0844986,8.038843316
MGV,Salohy,Lean,2022,September,21/09/2022,31224,Silver Pink,F,87.26612171,12.73387829,0,0,135.5371123,135.5371123,75.37762379,64.12452576,37.03181074,10.62035943,3.151479,6.650638322,39.06902832,5.450980545,1.30086555,11.28834285,42.48143773,12.605916,273.7957404,274.2033163,21.71962278,124.2487694,2.536426731,92.11089384,31.4441974,5.352679429,60.66669644,4.387150528,1.046984655,4.597287944,73.57374744,21.82896462
MGV,Salohy,Lean,2022,September,22/09/2022,31172,Purple Yellow,F,76.72143253,23.27856747,0,0,97.23296507,97.23296507,39.89241529,30.45344288,17.19336468,12.07879261,8.027553386,8.393403671,33.81501404,8.414944446,6.423110388,7.104578689,48.31517043,32.11021354,241.3183869,264.6776336,7.515315541,90.12838638,8.906798079,81.78048258,37.51871679,9.312719342,44.26176579,9.336619443,7.126623083,12.1318198,59.32756194,28.54061827
MGV,Salohy,Lean,2022,September,23/09/2022,35011,Yellow Teal,F,97.39825581,2.601744186,0,0,96.81909764,96.81909764,45.85708608,38.88637058,22.34098343,10.12836119,5.750377022,7.273414382,32.11519572,11.46206248,2.910385397,5.823024439,40.51344475,23.00150809,229.0021832,243.2899725,9.955963856,90.9960732,6.31936832,85.68752371,35.29294681,7.993107973,50.3945769,12.59621661,3.198363726,9.45435928,63.63917648,26.90646424
